market1,market2,correlation
Bhadara,Ch. Dadri,0.502
Bhadara,Chaandpur,0.619
Bhadara,Chamba,0.624
Bhadara,Champadanga,0.518
Bhadara,Chandabali,0.693
Bhadara,Chandausi,0.602
Bhadara,Chandigarh(Grain/Fruit),0.578
Bhadara,Chandoli,0.61
Bhadara,Chandrapur(Ganjwad),0.592
Bhadara,Chandvad,0.652
Bhadara,Charra,0.596
Bhadara,Chathanoor,0.51
Bhadara,Chatta Krushak Bazar,0.501
Bhadara,Chhachrauli,0.665
Bhadara,Chhindwara(F&V),0.502
Bhadara,Chirgaon,0.574
Bhadara,Chitwadagaon,0.622
Bhadara,Chorichora,0.704
Bhadara,Churu,0.719
Bhadara,Chutmalpur,0.822
Bhadara,Dabwali,0.555
Bhadara,Dahod(Veg. Market),0.524
Bhadara,Dasuya,0.698
Bhadara,Deori,0.553
Bhadara,Devariya,0.693
Bhadara,Dewas(F&V),0.775
Bhadara,Dhamnod,0.596
Bhadara,Dhanaura,0.548
Bhadara,Dhand,0.574
Bhadara,Dhanotu (Mandi),0.524
Bhadara,Dhupguri,0.648
Bhadara,Dinanagar,0.656
Bhadara,Divai,0.688
Bhadara,Doddaballa Pur,0.631
Bhadara,Doraha,0.555
Bhadara,Dudhansadhan,0.669
Bhadara,Dudhi,0.879
Bhadara,Durgapur,0.51
Bhadara,Etah,0.635
Bhadara,Etawah,0.7
Bhadara,Falakata,0.617
Bhadara,Farukh Nagar,0.659
Bhadara,Fatehabad,0.598
Bhadara,Fatehpur,0.636
Bhadara,Fatehpur Sikri,0.606
Bhadara,FerozpurZirkha(Nagina),0.656
Bhadara,Firozabad,0.625
Bhadara,Gadaura,0.748
Bhadara,Ganaur,0.509
Bhadara,Gangoh,0.618
Bhadara,Garh Shankar,0.737
Bhadara,Garh Shankar(Mahalpur),0.687
Bhadara,Gazipur,0.727
Bhadara,Gharaunda,0.577
Bhadara,Ghaziabad,0.685
Bhadara,Ghiraur,0.642
Bhadara,Gohana,0.636
Bhadara,Golagokarnath,0.656
Bhadara,Goluwala,0.675
Bhadara,Gonda,0.605
Bhadara,Gopa,0.668
Bhadara,Gorakhpur,0.657
Bhadara,Gowribidanoor,0.73
Bhadara,Gurgaon,0.554
Bhadara,Gurusarai,0.626
Bhadara,Haatpipliya,0.728
Bhadara,Habra,0.534
Bhadara,Hamirpur,0.521
Bhadara,Hamirpur(Nadaun),0.688
Bhadara,Hanumangarh,0.759
Bhadara,Hanumangarh Town,0.659
Bhadara,Hanumangarh(Urlivas),0.828
Bhadara,Hapur,0.706
Bhadara,Harda(F&V),0.643
Bhadara,Hardoi,0.627
Bhadara,Hasanpur,0.573
Bhadara,Hindol,0.662
Bhadara,Hinjilicut,0.522
Bhadara,Hoshangabad,0.847
Bhadara,Jabalpur(F&V),0.558
Bhadara,Jafarganj,0.703
Bhadara,Jagadhri,0.547
Bhadara,Jagnair,0.6
Bhadara,Jahangirabad,0.597
Bhadara,Jaipur (F&V),0.662
Bhadara,Jakhal,0.576
Bhadara,Jalalabad,0.682
Bhadara,Jalandhar City(Jalandhar),0.765
Bhadara,Jalgaon,0.744
Bhadara,Jalore,0.628
Bhadara,Jalpaiguri Sadar,0.73
Bhadara,Jalukie,0.732
Bhadara,Jasra,0.738
Bhadara,Jasvantnagar,0.678
Bhadara,Jaunpur,0.678
Bhadara,Jind,0.612
Bhadara,Jodhpur(F&V)(Paota),0.737
Bhadara,K.R. Pet,0.778
Bhadara,Kalipur,0.581
Bhadara,Kalmeshwar,0.755
Bhadara,Kalwakurthy,0.543
Bhadara,Kamakhyanagar,0.543
Bhadara,Kangra,0.511
Bhadara,Kangra(Baijnath),0.57
Bhadara,Kangra(Jaisinghpur),0.833
Bhadara,Khandwa(F&V),0.5
Bhadara,Neyyatinkara,0.503
Bhadara,kalanwali,0.837
Bhadrak,Bharthna,0.934
Bhadrak,Bharuasumerpur,0.954
Bhadrak,Bharwari,0.911
Bhadrak,Bhawanigarh,0.897
Bhadrak,Bhawanipatna,0.897
Bhadrak,Bhiwani,0.797
Bhadrak,Bhopal(F&V),0.946
Bhadrak,Bhuna,0.851
Bhadrak,Bhuntar,0.918
Bhadrak,Bhusaval,0.708
Bhadrak,Biaora,0.688
Bhadrak,Bijnaur,0.815
Bhadrak,Bikaner (F&V),0.78
Bhadrak,Bilaspur,0.843
Bhadrak,Bilimora,0.971
Bhadrak,Bilsi,0.9
Bhadrak,Bindki,0.903
Bhadrak,"Binny Mill (F&V), Bangalore",0.941
Bhadrak,Birbhum,0.869
Bhadrak,Bowenpally,0.903
Bhadrak,Buland Shahr,0.932
Bhadrak,Ch. Dadri,0.922
Bhadrak,Chaandpur,0.722
Bhadrak,Chakdah,0.892
Bhadrak,Chamba,0.851
Bhadrak,Champadanga,0.967
Bhadrak,Chandabali,0.852
Bhadrak,Chandausi,0.938
Bhadrak,Chandigarh(Grain/Fruit),0.881
Bhadrak,Chandoli,0.94
Bhadrak,Chandrapur(Ganjwad),0.88
Bhadrak,Chandvad,0.729
Bhadrak,Channapatana,0.924
Bhadrak,Charra,0.9
Bhadrak,Chathanoor,0.976
Bhadrak,Chatta Krushak Bazar,0.813
Bhadrak,Chengannur,0.816
Bhadrak,Chhachrauli,0.662
Bhadrak,Chhindwara(F&V),0.908
Bhadrak,Chickkaballapura,0.942
Bhadrak,Chikkamagalore,0.915
Bhadrak,Chintamani,0.883
Bhadrak,Chirgaon,0.963
Bhadrak,Chittorgarh,0.767
Bhadrak,Chitwadagaon,0.924
Bhadrak,Chorichora,0.776
Bhadrak,Churu,0.749
Bhadrak,Chutmalpur,0.542
Bhadrak,Dabwali,0.854
Bhadrak,Dahod(Veg. Market),0.815
Bhadrak,Damnagar,0.947
Bhadrak,Dasuya,0.816
Bhadrak,Davangere,0.951
Bhadrak,Deori,0.667
Bhadrak,Devariya,0.904
Bhadrak,Dewas(F&V),0.866
Bhadrak,Dhamnod,0.842
Bhadrak,Dhand,0.803
Bhadrak,Dhupguri,0.933
Bhadrak,Dinanagar,0.677
Bhadrak,Doddaballa Pur,0.947
Bhadrak,Doraha,0.881
Bhadrak,Dudhansadhan,0.792
Bhadrak,Dudhi,0.612
Bhadrak,Durg,0.948
Bhadrak,Durgapur,0.854
Bhadrak,Etah,0.942
Bhadrak,Etawah,0.871
Bhadrak,Ettumanoor,0.957
Bhadrak,Falakata,0.937
Bhadrak,Farukh Nagar,0.895
Bhadrak,Fatehpur,0.915
Bhadrak,Fatehpur Sikri,0.919
Bhadrak,FerozpurZirkha(Nagina),0.886
Bhadrak,Firozabad,0.907
Bhadrak,Gadaura,0.735
Bhadrak,Ganaur,0.848
Bhadrak,Gangoh,0.602
Bhadrak,Gazipur,0.86
Bhadrak,Gharaunda,0.848
Bhadrak,Ghaziabad,0.91
Bhadrak,Ghiraur,0.893
Bhadrak,Gohana,0.803
Bhadrak,Golagokarnath,0.902
Bhadrak,Goluwala,0.8
Bhadrak,Gonda,0.881
Bhadrak,Gopa,0.617
Bhadrak,Gorakhpur,0.916
Bhadrak,Gowribidanoor,0.724
Bhadrak,Gudimalkapur,0.946
Bhadrak,Gurgaon,0.964
Bhadrak,Gurusarai,0.947
Bhadrak,Haatpipliya,0.882
Bhadrak,Habra,0.859
Bhadrak,Hamirpur,0.871
Bhadrak,Hamirpur(Nadaun),0.724
Bhadrak,Hanumangarh Town,0.772
Bhadrak,Hanumangarh(Urlivas),0.697
Bhadrak,Hapur,0.8
Bhadrak,Harda(F&V),0.722
Bhadrak,Hardoi,0.855
Bhadrak,Hindol,0.897
Bhadrak,Hinjilicut,0.941
Bhadrak,Indore(F&V),0.935
Bhadrak,Jabalpur(F&V),0.822
Bhadrak,Jafarganj,0.845
Bhadrak,Jagadhri,0.841
Bhadrak,Jagnair,0.893
Bhadrak,Jahangirabad,0.862
Bhadrak,Jaipur (F&V),0.87
Bhadrak,Jakhal,0.68
Bhadrak,Jalalabad,0.713
Bhadrak,Jalandhar City(Jalandhar),0.619
Bhadrak,Jalgaon,0.536
Bhadrak,Jalore,0.844
Bhadrak,Jalpaiguri Sadar,0.831
Bhadrak,Jasra,0.884
Bhadrak,Jasvantnagar,0.811
Bhadrak,Jaunpur,0.718
Bhadrak,Jind,0.771
Bhadrak,Jodhpur(F&V)(Paota),0.739
Bhadrak,Junnar(Narayangaon),0.929
Bhadrak,K.R. Pet,0.577
Bhadrak,Kalipur,0.907
Bhadrak,Kalmeshwar,0.762
Bhadrak,Kalwakurthy,0.949
Bhadrak,Kamakhyanagar,0.904
Bhadrak,Kamthi,0.927
Bhadrak,Kangra,0.77
Bhadrak,Kangra(Baijnath),0.703
Bhadrak,Kangra(Jaisinghpur),0.684
Bhadrak,Kipheri,0.542
Bhadrak,Kota (F&V),0.772
Bhadrak,Kottayam,0.561
Bhadrak,Madlauda,0.677
Bhadrak,Nagpur,0.753
Bhadrak,Neyyatinkara,0.623
Bhadrak,Nuh,0.714
Bhadrak,Petlawad,0.613
Bhadrak,Thrippunithura,0.766
Bhadrak,kalanwali,0.666
Bharthna,Bharuasumerpur,0.978
Bharthna,Bharwari,0.983
Bharthna,Bhawanigarh,0.959
Bharthna,Bhawanipatna,0.913
Bharthna,Bhiwani,0.897
Bharthna,Bhopal(F&V),0.943
Bharthna,Bhuna,0.891
Bharthna,Bhuntar,0.916
Bharthna,Bhusaval,0.801
Bharthna,Biaora,0.815
Bharthna,Bijnaur,0.931
Bharthna,Bikaner (F&V),0.834
Bharthna,Bilaspur,0.931
Bharthna,Bilimora,0.948
Bharthna,Bilsi,0.986
Bharthna,Bindki,0.974
Bharthna,"Binny Mill (F&V), Bangalore",0.88
Bharthna,Birbhum,0.919
Bharthna,Bowenpally,0.753
Bharthna,Buland Shahr,0.978
Bharthna,Ch. Dadri,0.944
Bharthna,Chaandpur,0.872
Bharthna,Chakdah,0.907
Bharthna,Chamba,0.952
Bharthna,Champadanga,0.947
Bharthna,Chandabali,0.933
Bharthna,Chandausi,0.984
Bharthna,Chandigarh(Grain/Fruit),0.956
Bharthna,Chandoli,0.99
Bharthna,Chandrapur(Ganjwad),0.912
Bharthna,Chandvad,0.834
Bharthna,Channapatana,0.838
Bharthna,Charra,0.967
Bharthna,Chathanoor,0.935
Bharthna,Chatta Krushak Bazar,0.871
Bharthna,Chengannur,0.742
Bharthna,Chhachrauli,0.74
Bharthna,Chhindwara(F&V),0.915
Bharthna,Chickkaballapura,0.863
Bharthna,Chikkamagalore,0.918
Bharthna,Chintamani,0.823
Bharthna,Chirgaon,0.974
Bharthna,Chittorgarh,0.84
Bharthna,Chitwadagaon,0.986
Bharthna,Chorichora,0.898
Bharthna,Churu,0.881
Bharthna,Chutmalpur,0.713
Bharthna,Dabwali,0.919
Bharthna,Dahod(Veg. Market),0.882
Bharthna,Damnagar,0.896
Bharthna,Dasuya,0.867
Bharthna,Davangere,0.846
Bharthna,Deori,0.748
Bharthna,Devariya,0.972
Bharthna,Dewas(F&V),0.899
Bharthna,Dhamnod,0.811
Bharthna,Dhanaura,0.548
Bharthna,Dhand,0.856
Bharthna,Dhupguri,0.906
Bharthna,Dinanagar,0.81
Bharthna,Divai,0.518
Bharthna,Doddaballa Pur,0.954
Bharthna,Doraha,0.943
Bharthna,Dudhansadhan,0.92
Bharthna,Dudhi,0.738
Bharthna,Durg,0.905
Bharthna,Durgapur,0.93
Bharthna,Etah,0.965
Bharthna,Etawah,0.967
Bharthna,Ettumanoor,0.904
Bharthna,Falakata,0.96
Bharthna,Farukh Nagar,0.932
Bharthna,Fatehpur,0.986
Bharthna,Fatehpur Sikri,0.989
Bharthna,FerozpurZirkha(Nagina),0.959
Bharthna,Firozabad,0.979
Bharthna,Gadaura,0.854
Bharthna,Ganaur,0.916
Bharthna,Gangoh,0.664
Bharthna,Garh Shankar,0.52
Bharthna,Garh Shankar(Mahalpur),0.677
Bharthna,Gazipur,0.951
Bharthna,Gharaunda,0.912
Bharthna,Ghaziabad,0.967
Bharthna,Ghiraur,0.963
Bharthna,Gohana,0.889
Bharthna,Golagokarnath,0.975
Bharthna,Goluwala,0.802
Bharthna,Gonda,0.958
Bharthna,Gopa,0.74
Bharthna,Gorakhpur,0.973
Bharthna,Gowribidanoor,0.76
Bharthna,Gudimalkapur,0.9
Bharthna,Gurgaon,0.94
Bharthna,Gurusarai,0.963
Bharthna,Haatpipliya,0.961
Bharthna,Habra,0.928
Bharthna,Hamirpur,0.942
Bharthna,Hamirpur(Nadaun),0.866
Bharthna,Hanumangarh Town,0.884
Bharthna,Hanumangarh(Urlivas),0.822
Bharthna,Hapur,0.909
Bharthna,Harda(F&V),0.859
Bharthna,Hardoi,0.931
Bharthna,Hindol,0.928
Bharthna,Hinjilicut,0.909
Bharthna,Hoshangabad,0.628
Bharthna,Indore(F&V),0.889
Bharthna,Jabalpur(F&V),0.824
Bharthna,Jafarganj,0.936
Bharthna,Jagadhri,0.857
Bharthna,Jagnair,0.934
Bharthna,Jahangirabad,0.942
Bharthna,Jaipur (F&V),0.915
Bharthna,Jakhal,0.823
Bharthna,Jalalabad,0.83
Bharthna,Jalandhar City(Jalandhar),0.76
Bharthna,Jalgaon,0.606
Bharthna,Jalore,0.951
Bharthna,Jalpaiguri Sadar,0.857
Bharthna,Jasra,0.961
Bharthna,Jasvantnagar,0.924
Bharthna,Jaunpur,0.814
Bharthna,Jind,0.89
Bharthna,Jodhpur(F&V)(Paota),0.834
Bharthna,Junnar(Narayangaon),0.922
Bharthna,K.R. Pet,0.718
Bharthna,Kalipur,0.942
Bharthna,Kalmeshwar,0.872
Bharthna,Kalwakurthy,0.91
Bharthna,Kamakhyanagar,0.928
Bharthna,Kamthi,0.873
Bharthna,Kangra,0.702
Bharthna,Kangra(Baijnath),0.851
Bharthna,Kangra(Jaisinghpur),0.744
Bharthna,Kota (F&V),0.658
Bharthna,Kottayam,0.523
Bharthna,Madlauda,0.65
Bharthna,Mysore (Bandipalya),0.541
Bharthna,Nagpur,0.731
Bharthna,Neyyatinkara,0.6
Bharthna,Nuh,0.592
Bharthna,Petlawad,0.574
Bharthna,Sonepat,0.552
Bharthna,Thrippunithura,0.599
Bharthna,kalanwali,0.745
Bharuasumerpur,Bharwari,0.97
Bharuasumerpur,Bhawanigarh,0.937
Bharuasumerpur,Bhawanipatna,0.888
Bharuasumerpur,Bhiwani,0.882
Bharuasumerpur,Bhopal(F&V),0.947
Bharuasumerpur,Bhuna,0.903
Bharuasumerpur,Bhuntar,0.933
Bharuasumerpur,Bhusaval,0.787
Bharuasumerpur,Biaora,0.804
Bharuasumerpur,Bijnaur,0.896
Bharuasumerpur,Bikaner (F&V),0.846
Bharuasumerpur,Bilaspur,0.919
Bharuasumerpur,Bilimora,0.969
Bharuasumerpur,Bilsi,0.965
Bharuasumerpur,Bindki,0.969
Bharuasumerpur,"Binny Mill (F&V), Bangalore",0.915
Bharuasumerpur,Birbhum,0.919
Bharuasumerpur,Bowenpally,0.803
Bharuasumerpur,Buland Shahr,0.986
Bharuasumerpur,Ch. Dadri,0.954
Bharuasumerpur,Chaandpur,0.823
Bharuasumerpur,Chakdah,0.932
Bharuasumerpur,Chamba,0.924
Bharuasumerpur,Champadanga,0.951
Bharuasumerpur,Chandabali,0.896
Bharuasumerpur,Chandausi,0.978
Bharuasumerpur,Chandigarh(Grain/Fruit),0.932
Bharuasumerpur,Chandoli,0.977
Bharuasumerpur,Chandrapur(Ganjwad),0.88
Bharuasumerpur,Chandvad,0.776
Bharuasumerpur,Channapatana,0.867
Bharuasumerpur,Charra,0.96
Bharuasumerpur,Chathanoor,0.961
Bharuasumerpur,Chatta Krushak Bazar,0.873
Bharuasumerpur,Chengannur,0.737
Bharuasumerpur,Chhachrauli,0.703
Bharuasumerpur,Chhindwara(F&V),0.928
Bharuasumerpur,Chickkaballapura,0.896
Bharuasumerpur,Chikkamagalore,0.935
Bharuasumerpur,Chintamani,0.849
Bharuasumerpur,Chirgaon,0.979
Bharuasumerpur,Chittorgarh,0.813
Bharuasumerpur,Chitwadagaon,0.972
Bharuasumerpur,Chorichora,0.834
Bharuasumerpur,Churu,0.816
Bharuasumerpur,Chutmalpur,0.654
Bharuasumerpur,Dabwali,0.923
Bharuasumerpur,Dahod(Veg. Market),0.881
Bharuasumerpur,Damnagar,0.92
Bharuasumerpur,Dasuya,0.837
Bharuasumerpur,Davangere,0.875
Bharuasumerpur,Deori,0.72
Bharuasumerpur,Devariya,0.956
Bharuasumerpur,Dewas(F&V),0.867
Bharuasumerpur,Dhamnod,0.804
Bharuasumerpur,Dhand,0.842
Bharuasumerpur,Dhupguri,0.901
Bharuasumerpur,Dinanagar,0.768
Bharuasumerpur,Doddaballa Pur,0.971
Bharuasumerpur,Doraha,0.931
Bharuasumerpur,Dudhansadhan,0.878
Bharuasumerpur,Dudhi,0.662
Bharuasumerpur,Durg,0.94
Bharuasumerpur,Durgapur,0.949
Bharuasumerpur,Etah,0.961
Bharuasumerpur,Etawah,0.916
Bharuasumerpur,Ettumanoor,0.935
Bharuasumerpur,Falakata,0.947
Bharuasumerpur,Farukh Nagar,0.921
Bharuasumerpur,Fatehpur,0.979
Bharuasumerpur,Fatehpur Sikri,0.978
Bharuasumerpur,FerozpurZirkha(Nagina),0.934
Bharuasumerpur,Firozabad,0.966
Bharuasumerpur,Gadaura,0.793
Bharuasumerpur,Ganaur,0.935
Bharuasumerpur,Gangoh,0.614
Bharuasumerpur,Garh Shankar(Mahalpur),0.602
Bharuasumerpur,Gazipur,0.92
Bharuasumerpur,Gharaunda,0.906
Bharuasumerpur,Ghaziabad,0.954
Bharuasumerpur,Ghiraur,0.941
Bharuasumerpur,Gohana,0.841
Bharuasumerpur,Golagokarnath,0.952
Bharuasumerpur,Goluwala,0.77
Bharuasumerpur,Gonda,0.937
Bharuasumerpur,Gopa,0.676
Bharuasumerpur,Gorakhpur,0.953
Bharuasumerpur,Gowribidanoor,0.717
Bharuasumerpur,Gudimalkapur,0.927
Bharuasumerpur,Gurgaon,0.955
Bharuasumerpur,Gurusarai,0.952
Bharuasumerpur,Haatpipliya,0.922
Bharuasumerpur,Habra,0.933
Bharuasumerpur,Hamirpur,0.939
Bharuasumerpur,Hamirpur(Nadaun),0.798
Bharuasumerpur,Hanumangarh Town,0.841
Bharuasumerpur,Hanumangarh(Urlivas),0.755
Bharuasumerpur,Hapur,0.849
Bharuasumerpur,Harda(F&V),0.792
Bharuasumerpur,Hardoi,0.904
Bharuasumerpur,Hindol,0.915
Bharuasumerpur,Hinjilicut,0.944
Bharuasumerpur,Hoshangabad,0.536
Bharuasumerpur,Indore(F&V),0.921
Bharuasumerpur,Jabalpur(F&V),0.827
Bharuasumerpur,Jafarganj,0.886
Bharuasumerpur,Jagadhri,0.859
Bharuasumerpur,Jagnair,0.916
Bharuasumerpur,Jahangirabad,0.932
Bharuasumerpur,Jaipur (F&V),0.912
Bharuasumerpur,Jakhal,0.785
Bharuasumerpur,Jalalabad,0.788
Bharuasumerpur,Jalandhar City(Jalandhar),0.696
Bharuasumerpur,Jalgaon,0.544
Bharuasumerpur,Jalore,0.907
Bharuasumerpur,Jalpaiguri Sadar,0.818
Bharuasumerpur,Jasra,0.941
Bharuasumerpur,Jasvantnagar,0.882
Bharuasumerpur,Jaunpur,0.785
Bharuasumerpur,Jind,0.842
Bharuasumerpur,Jodhpur(F&V)(Paota),0.763
Bharuasumerpur,Junnar(Narayangaon),0.946
Bharuasumerpur,K.R. Pet,0.644
Bharuasumerpur,Kalipur,0.933
Bharuasumerpur,Kalmeshwar,0.809
Bharuasumerpur,Kalwakurthy,0.926
Bharuasumerpur,Kamakhyanagar,0.91
Bharuasumerpur,Kamthi,0.881
Bharuasumerpur,Kangra,0.689
Bharuasumerpur,Kangra(Baijnath),0.798
Bharuasumerpur,Kangra(Jaisinghpur),0.691
Bharuasumerpur,Kota (F&V),0.675
Bharuasumerpur,Kottayam,0.532
Bharuasumerpur,Madlauda,0.65
Bharuasumerpur,Mysore (Bandipalya),0.514
Bharuasumerpur,Nagpur,0.731
Bharuasumerpur,Neyyatinkara,0.596
Bharuasumerpur,Nuh,0.613
Bharuasumerpur,Petlawad,0.577
Bharuasumerpur,Sonepat,0.516
Bharuasumerpur,Thrippunithura,0.631
Bharuasumerpur,kalanwali,0.692
Bharwari,Bhawanigarh,0.963
Bharwari,Bhawanipatna,0.895
Bharwari,Bhiwani,0.925
Bharwari,Bhopal(F&V),0.934
Bharwari,Bhuna,0.9
Bharwari,Bhuntar,0.921
Bharwari,Bhusaval,0.846
Bharwari,Biaora,0.852
Bharwari,Bijnaur,0.932
Bharwari,Bikaner (F&V),0.835
Bharwari,Bilaspur,0.94
Bharwari,Bilimora,0.928
Bharwari,Bilsi,0.982
Bharwari,Bindki,0.972
Bharwari,"Binny Mill (F&V), Bangalore",0.845
Bharwari,Birbhum,0.942
Bharwari,Bowenpally,0.713
Bharwari,Buland Shahr,0.976
Bharwari,Ch. Dadri,0.93
Bharwari,Chaandpur,0.896
Bharwari,Chakdah,0.906
Bharwari,Chamba,0.952
Bharwari,Champadanga,0.925
Bharwari,Chandabali,0.925
Bharwari,Chandausi,0.982
Bharwari,Chandigarh(Grain/Fruit),0.948
Bharwari,Chandoli,0.979
Bharwari,Chandrapur(Ganjwad),0.89
Bharwari,Chandvad,0.819
Bharwari,Channapatana,0.798
Bharwari,Charra,0.99
Bharwari,Chathanoor,0.913
Bharwari,Chatta Krushak Bazar,0.914
Bharwari,Chengannur,0.696
Bharwari,Chhachrauli,0.72
Bharwari,Chhindwara(F&V),0.897
Bharwari,Chickkaballapura,0.826
Bharwari,Chikkamagalore,0.896
Bharwari,Chintamani,0.782
Bharwari,Chirgaon,0.952
Bharwari,Chittorgarh,0.831
Bharwari,Chitwadagaon,0.985
Bharwari,Chorichora,0.879
Bharwari,Churu,0.868
Bharwari,Chutmalpur,0.737
Bharwari,Dabwali,0.926
Bharwari,Dahod(Veg. Market),0.886
Bharwari,Damnagar,0.881
Bharwari,Dasuya,0.839
Bharwari,Davangere,0.803
Bharwari,Deori,0.795
Bharwari,Devariya,0.958
Bharwari,Dewas(F&V),0.879
Bharwari,Dhamnod,0.787
Bharwari,Dhanaura,0.55
Bharwari,Dhand,0.854
Bharwari,Dhanotu (Mandi),0.502
Bharwari,Dhupguri,0.887
Bharwari,Dinanagar,0.842
Bharwari,Divai,0.536
Bharwari,Doddaballa Pur,0.938
Bharwari,Doraha,0.956
Bharwari,Dudhansadhan,0.925
Bharwari,Dudhi,0.731
Bharwari,Durg,0.902
Bharwari,Durgapur,0.937
Bharwari,Etah,0.968
Bharwari,Etawah,0.946
Bharwari,Ettumanoor,0.884
Bharwari,Falakata,0.94
Bharwari,Farukh Nagar,0.922
Bharwari,Fatehpur,0.987
Bharwari,Fatehpur Sikri,0.987
Bharwari,FerozpurZirkha(Nagina),0.966
Bharwari,Firozabad,0.971
Bharwari,Gadaura,0.864
Bharwari,Ganaur,0.919
Bharwari,Gangoh,0.652
Bharwari,Garh Shankar,0.531
Bharwari,Garh Shankar(Mahalpur),0.684
Bharwari,Gazipur,0.961
Bharwari,Gharaunda,0.914
Bharwari,Ghaziabad,0.972
Bharwari,Ghiraur,0.97
Bharwari,Gohana,0.875
Bharwari,Golagokarnath,0.981
Bharwari,Goluwala,0.763
Bharwari,Gonda,0.971
Bharwari,Gopa,0.732
Bharwari,Gorakhpur,0.953
Bharwari,Gowribidanoor,0.737
Bharwari,Gudimalkapur,0.907
Bharwari,Gurgaon,0.919
Bharwari,Gurusarai,0.945
Bharwari,Haatpipliya,0.948
Bharwari,Habra,0.934
Bharwari,Hamirpur,0.957
Bharwari,Hamirpur(Nadaun),0.855
Bharwari,Hanumangarh Town,0.893
Bharwari,Hanumangarh(Urlivas),0.81
Bharwari,Hapur,0.894
Bharwari,Harda(F&V),0.844
Bharwari,Hardoi,0.94
Bharwari,Hindol,0.904
Bharwari,Hinjilicut,0.899
Bharwari,Hoshangabad,0.639
Bharwari,Indore(F&V),0.87
Bharwari,Jabalpur(F&V),0.831
Bharwari,Jafarganj,0.925
Bharwari,Jagadhri,0.833
Bharwari,Jagnair,0.933
Bharwari,Jahangirabad,0.973
Bharwari,Jaipur (F&V),0.899
Bharwari,Jakhal,0.853
Bharwari,Jalalabad,0.846
Bharwari,Jalandhar City(Jalandhar),0.756
Bharwari,Jalgaon,0.594
Bharwari,Jalore,0.943
Bharwari,Jalpaiguri Sadar,0.832
Bharwari,Jasra,0.956
Bharwari,Jasvantnagar,0.933
Bharwari,Jaunpur,0.809
Bharwari,Jind,0.892
Bharwari,Jodhpur(F&V)(Paota),0.811
Bharwari,Junnar(Narayangaon),0.913
Bharwari,K.R. Pet,0.723
Bharwari,Kalipur,0.956
Bharwari,Kalmeshwar,0.856
Bharwari,Kalwakurthy,0.91
Bharwari,Kamakhyanagar,0.892
Bharwari,Kamthi,0.835
Bharwari,Kangra,0.64
Bharwari,Kangra(Baijnath),0.868
Bharwari,Kangra(Jaisinghpur),0.729
Bharwari,Kota (F&V),0.603
Bharwari,Madlauda,0.606
Bharwari,Mysore (Bandipalya),0.522
Bharwari,Nagpur,0.686
Bharwari,Neyyatinkara,0.565
Bharwari,Nuh,0.54
Bharwari,Petlawad,0.549
Bharwari,Sonepat,0.528
Bharwari,Thrippunithura,0.535
Bharwari,kalanwali,0.739
Bhawanigarh,Bhawanipatna,0.908
Bhawanigarh,Bhiwani,0.883
Bhawanigarh,Bhopal(F&V),0.921
Bhawanigarh,Bhuna,0.848
Bhawanigarh,Bhuntar,0.902
Bhawanigarh,Bhusaval,0.826
Bhawanigarh,Biaora,0.804
Bhawanigarh,Bijnaur,0.892
Bhawanigarh,Bikaner (F&V),0.81
Bhawanigarh,Bilaspur,0.928
Bhawanigarh,Bilimora,0.896
Bhawanigarh,Bilsi,0.959
Bhawanigarh,Bindki,0.947
Bhawanigarh,"Binny Mill (F&V), Bangalore",0.817
Bhawanigarh,Birbhum,0.923
Bhawanigarh,Bowenpally,0.707
Bhawanigarh,Buland Shahr,0.951
Bhawanigarh,Ch. Dadri,0.894
Bhawanigarh,Chaandpur,0.891
Bhawanigarh,Chakdah,0.851
Bhawanigarh,Chamba,0.939
Bhawanigarh,Champadanga,0.903
Bhawanigarh,Chandabali,0.934
Bhawanigarh,Chandausi,0.952
Bhawanigarh,Chandigarh(Grain/Fruit),0.93
Bhawanigarh,Chandoli,0.953
Bhawanigarh,Chandrapur(Ganjwad),0.895
Bhawanigarh,Chandvad,0.826
Bhawanigarh,Channapatana,0.783
Bhawanigarh,Charra,0.956
Bhawanigarh,Chathanoor,0.883
Bhawanigarh,Chatta Krushak Bazar,0.868
Bhawanigarh,Chengannur,0.714
Bhawanigarh,Chhachrauli,0.716
Bhawanigarh,Chhindwara(F&V),0.85
Bhawanigarh,Chickkaballapura,0.79
Bhawanigarh,Chikkamagalore,0.847
Bhawanigarh,Chintamani,0.74
Bhawanigarh,Chirgaon,0.927
Bhawanigarh,Chittorgarh,0.81
Bhawanigarh,Chitwadagaon,0.964
Bhawanigarh,Chorichora,0.893
Bhawanigarh,Churu,0.867
Bhawanigarh,Chutmalpur,0.711
Bhawanigarh,Dabwali,0.887
Bhawanigarh,Dahod(Veg. Market),0.827
Bhawanigarh,Damnagar,0.856
Bhawanigarh,Dasuya,0.81
Bhawanigarh,Davangere,0.793
Bhawanigarh,Deori,0.807
Bhawanigarh,Devariya,0.936
Bhawanigarh,Dewas(F&V),0.881
Bhawanigarh,Dhamnod,0.809
Bhawanigarh,Dhanaura,0.533
Bhawanigarh,Dhand,0.848
Bhawanigarh,Dhanotu (Mandi),0.569
Bhawanigarh,Dhupguri,0.889
Bhawanigarh,Dinanagar,0.856
Bhawanigarh,Divai,0.538
Bhawanigarh,Doddaballa Pur,0.904
Bhawanigarh,Doraha,0.938
